,Name,fp,fp_per_game
206,Matt Andriese,46.33,2.7252941176470586
207,Santiago Casilla,25.91,1.619375
208,Sam Gaviglio,41.16,8.232
209,Sam Freeman,56.58,1.886
210,John Axford,39.25,1.57
211,Mike Clevinger,113.41,9.450833333333334
212,Marco Gonzales,110.66,9.221666666666666
213,Aaron Slegers,4.33,4.33
214,Ryan Yarbrough,89.08,6.852307692307692
215,Zac Curtis,3.08,0.77
216,Wade Davis,163.25,6.53
217,Sam Tuivailala,20.5,1.3666666666666667
218,Pedro Baez,66.41,2.4596296296296294
219,Adam Liberatore,9.5,0.7916666666666666
220,Jhoulys Chacin,93.25,7.173076923076923
221,Tyler Clippard,116.25,3.875
222,Steven Matz,52.16,4.741818181818181
223,Edgar Santana,80.41,3.2163999999999997
224,Kyle Freeland,85.16,7.741818181818181
225,Brad Brach,82.75,3.9404761904761907
226,Zack Greinke,113.33,9.444166666666666
227,Taijuan Walker,10.75,3.5833333333333335
228,David Hess,23.33,5.8325
229,Nick Pivetta,98.0,8.166666666666666
230,Shane Greene,156.57999999999998,5.399310344827586
231,Dan Straily,36.5,5.214285714285714
232,Alex Colome,132.41,4.904074074074074
233,Kyle Gibson,77.41,6.450833333333333
234,Jorge De La Rosa,43.83,1.6233333333333333
235,Jake Diekman,89.08,3.426153846153846
236,A.J. Minter,111.91,4.4764
237,Brandon Kintzler,120.66,4.160689655172414
238,Dan Jennings,91.41,3.264642857142857
239,Rick Porcello,156.32999999999998,12.025384615384613
240,Sean Manaea,95.25,7.9375
241,Nick Gardewine,5.25,1.75
242,Artie Lewicki,21.5,3.5833333333333335
243,Ryan Cook,30.0,5.0
244,Tanner Roark,59.58,4.965
245,Kenta Maeda,90.08,8.18909090909091
246,Jakob Junis,104.66,8.721666666666666
247,Jordan Montgomery,45.08,7.513333333333333
248,Cole Hamels,85.0,7.083333333333333
249,Luis Garcia,109.83,3.9225
250,Dallas Keuchel,68.0,5.666666666666667
251,Jordan Lyles,85.33,4.740555555555556
252,Andrew Heaney,57.91,6.434444444444444
253,Zach Duke,85.66,3.2946153846153843
254,Noe Ramirez,68.08,2.2693333333333334
255,Anthony Banda,23.16,7.72
256,Michael Soroka,19.41,6.47
257,Dylan Floro,31.75,2.1166666666666667
258,Marcus Walden,33.16,4.145
259,Tony Barnette,27.16,2.0892307692307694
260,Alex Claudio,98.83,3.529642857142857
261,Sammy Solis,94.75,2.9609375
262,Luis Avilan,54.75,2.19
263,Yonny Chirinos,22.91,3.8183333333333334
264,Freddy Peralta,27.66,13.83
265,CC Sabathia,60.16,6.016
266,Jim Johnson,71.83,2.3943333333333334
267,Jesse Chavez,61.0,3.388888888888889
268,Cody Allen,104.0,4.16
269,Matt Koch,61.25,6.125
270,Darren O'Day,48.83,3.756153846153846
271,Carson Smith,57.33,3.185
